begins_at,open_price,close_price,high_price,low_price,volume
2021-02-01T20:56:45Z,33766.690000,33756.140000,33847.830000,33688.525000,0
2021-02-01T20:57:00Z,33824.620000,33807.020000,33866.735000,33685.480000,0
2021-02-01T20:57:15Z,33740.060000,33793.080000,33874.765000,33612.360000,0
2021-02-01T20:57:30Z,33858.850000,33831.250000,33891.450000,33729.055000,0
2021-02-01T20:57:45Z,33890.790000,33837.055000,33911.230000,33769.955000,0
2021-02-01T20:58:00Z,33775.675000,33835.160000,33901.380000,33754.210000,0
2021-02-01T20:58:15Z,33901.510000,33830.535000,33905.780000,33765.675000,0
2021-02-01T20:58:30Z,33830.535000,33826.235000,33906.625000,33760.985000,0
2021-02-01T20:58:45Z,33826.235000,33831.450000,33901.120000,33748.045000,0
2021-02-01T20:59:00Z,33726.120000,33832.595000,33900.770000,33717.710000,0
2021-02-01T20:59:15Z,33764.070000,33832.210000,33906.475000,33761.440000,0
2021-02-01T20:59:30Z,33832.210000,33835.645000,33914.610000,33762.775000,0
2021-02-01T20:59:45Z,33768.015000,33814.855000,33907.610000,33746.825000,0
2021-02-01T21:00:00Z,33884.610000,33791.500000,33884.615000,33721.375000,0
2021-02-01T21:00:15Z,33723.925000,33803.370000,33912.195000,33672.720000,0
2021-02-01T21:00:30Z,33732.890000,33768.425000,33910.675000,33625.090000,0
2021-02-01T21:00:45Z,33770.950000,33718.170000,33876.285000,33644.365000,0
2021-02-01T21:01:00Z,33715.990000,33709.770000,33787.435000,33497.732216,0
2021-02-01T21:01:15Z,33706.425000,33711.180000,33785.445000,33637.265000,0
2021-02-01T21:01:30Z,33710.895000,33711.100000,33777.005000,33640.560000,0
2021-02-01T21:01:45Z,33775.980000,33719.440000,33797.200000,33640.595000,0
2021-02-01T21:02:00Z,33786.725000,33739.270000,33817.350000,33650.310000,0
2021-02-01T21:02:15Z,33739.270000,33749.260000,33827.215000,33667.295000,0
2021-02-01T21:02:30Z,33683.320000,33740.330000,33818.210000,33671.070000,0
2021-02-01T21:02:45Z,33809.540000,33754.825000,33824.125000,33608.000907,0
2021-02-01T21:03:00Z,33824.125000,33761.110000,33844.200000,33682.810000,0
2021-02-01T21:03:15Z,33841.190000,33795.435000,33864.105000,33699.895000,0
2021-02-01T21:03:30Z,33726.695000,33784.615000,33861.630000,33711.035000,0
2021-02-01T21:03:45Z,33712.295000,33709.230000,33855.815000,33544.135000,0
2021-02-01T21:04:00Z,33709.225000,33737.565000,33841.445000,33639.905456,0
2021-02-01T21:04:15Z,33665.355000,33754.515000,33833.890000,33664.705000,0
2021-02-01T21:04:30Z,33823.795000,33756.915000,33828.865000,33682.075000,0
2021-02-01T21:04:45Z,33756.915000,33761.020000,33828.590000,33685.260000,0
2021-02-01T21:05:00Z,33693.930000,33753.090000,33829.010000,33680.550000,0
2021-02-01T21:05:15Z,33753.090000,33746.630000,33821.445000,33676.565000,0
2021-02-01T21:05:30Z,33746.630000,33718.405000,33815.970000,33649.015000,0
2021-02-01T21:05:45Z,33647.640000,33706.095000,33788.220000,33623.155000,0
2021-02-01T21:06:00Z,33780.295000,33732.700000,33827.312496,33634.415000,0
2021-02-01T21:06:15Z,33804.455000,33742.380000,33810.755000,33662.585000,0
2021-02-01T21:06:30Z,33675.200000,33756.605000,33824.320000,33675.195000,0
2021-02-01T21:06:45Z,33766.355000,33700.570000,33835.190000,33600.935000,0
2021-02-01T21:07:00Z,33700.565000,33750.015000,33840.965000,33682.255000,0
2021-02-01T21:07:15Z,33819.350000,33750.150000,33821.945000,33681.980000,0
2021-02-01T21:07:30Z,33748.205000,33763.605000,33833.325000,33679.620000,0
2021-02-01T21:07:45Z,33760.950000,33771.625000,33843.315000,33689.555000,0
2021-02-01T21:08:00Z,33843.885000,33765.665000,33844.090000,33685.375000,0
2021-02-01T21:08:15Z,33836.785000,33771.475000,33840.680000,33694.795000,0
2021-02-01T21:08:30Z,33841.430000,33770.990000,33842.445000,33698.935000,0
2021-02-01T21:08:45Z,33700.565000,33768.690000,33842.030000,33611.600000,0
2021-02-01T21:09:00Z,33835.720000,33793.940000,33901.876451,33698.140000,0
2021-02-01T21:09:15Z,33793.940000,33789.860000,33862.240000,33720.755000,0
2021-02-01T21:09:30Z,33856.760000,33759.175000,33856.765000,33687.960000,0
2021-02-01T21:09:45Z,33689.750000,33767.110000,33839.410000,33687.400000,0
2021-02-01T21:10:00Z,33696.040000,33773.360000,33842.255000,33695.180000,0
2021-02-01T21:10:15Z,33843.700000,33777.710000,33851.460000,33696.355000,0
2021-02-01T21:10:30Z,33849.740000,33789.375000,33859.705000,33709.515000,0
2021-02-01T21:10:45Z,33718.755000,33796.820000,33867.280000,33718.750000,0
2021-02-01T21:11:00Z,33863.530000,33839.990000,33863.535000,33700.450000,0
2021-02-01T21:11:15Z,33840.870000,33774.150000,33844.160000,33700.680000,0
2021-02-01T21:11:30Z,33847.045000,33789.340000,33858.350000,33710.110000,0
2021-02-01T21:11:45Z,33857.950000,33774.290000,33895.889507,33708.325000,0
2021-02-01T21:12:00Z,33703.065000,33769.675000,33838.860000,33697.310000,0
2021-02-01T21:12:15Z,33769.645000,33783.885000,33850.980000,33700.300000,0
2021-02-01T21:12:30Z,33852.145000,33780.400000,33854.825000,33711.505000,0
2021-02-01T21:12:45Z,33861.635000,33789.045000,33861.640000,33719.440000,0
2021-02-01T21:13:00Z,33853.330000,33767.035000,33853.330000,33620.620504,0
2021-02-01T21:13:15Z,33769.895000,33788.550000,33853.675000,33704.770000,0
2021-02-01T21:13:30Z,33720.895000,33791.700000,33862.135000,33717.010000,0
2021-02-01T21:13:45Z,33798.355000,33788.415000,33866.130000,33723.950000,0
2021-02-01T21:14:00Z,33718.600000,33786.615000,33858.985000,33716.605000,0
2021-02-01T21:14:15Z,33717.715000,33802.650000,33877.490000,33717.710000,0
2021-02-01T21:14:30Z,33802.650000,33816.640000,33885.715000,33729.955000,0
2021-02-01T21:14:45Z,33886.425000,33811.080000,33896.305000,33751.080000,0
2021-02-01T21:15:00Z,33811.080000,33804.880000,33884.890000,33728.075000,0
2021-02-01T21:15:15Z,33732.725000,33804.185000,33874.020000,33728.305000,0
2021-02-01T21:15:30Z,33874.730000,33808.465000,33879.585000,33735.475000,0
2021-02-01T21:15:45Z,33736.730000,33805.770000,33880.275000,33735.945000,0
2021-02-01T21:16:00Z,33735.470000,33765.680000,33873.245000,33689.815000,0
2021-02-01T21:16:15Z,33835.160000,33785.250000,33853.265000,33704.050000,0
2021-02-01T21:16:30Z,33785.250000,33790.675000,33861.760000,33713.980000,0
2021-02-01T21:16:45Z,33859.850000,33736.660000,33880.640000,33638.415000,0
2021-02-01T21:17:00Z,33738.045000,33745.325000,33874.180000,33724.030000,0
2021-02-01T21:17:15Z,33744.125000,33815.875000,33885.525000,33742.850000,0
2021-02-01T21:17:30Z,33898.765000,33798.710000,33898.770000,33732.955000,0
2021-02-01T21:17:45Z,33870.240000,33885.630000,33887.435000,33732.770000,0
2021-02-01T21:18:00Z,33885.635000,33809.955000,33958.145000,33739.320000,0
2021-02-01T21:18:15Z,33877.880000,33820.125000,33888.315000,33675.762003,0
2021-02-01T21:18:30Z,33751.315000,33814.955000,33891.495000,33747.505000,0
2021-02-01T21:18:45Z,33747.900000,33797.625000,33878.775000,33726.200000,0
2021-02-01T21:19:00Z,33728.565000,33813.945000,33884.315000,33724.210000,0
2021-02-01T21:19:15Z,33743.395000,33817.275000,33884.315000,33743.255000,0
2021-02-01T21:19:30Z,33885.150000,33808.555000,33889.705000,33744.645000,0
2021-02-01T21:19:45Z,33731.420000,33803.605000,33873.290000,33730.250000,0
2021-02-01T21:20:00Z,33872.130000,33840.700000,33907.910000,33735.170000,0
2021-02-01T21:20:15Z,33771.170000,33835.450000,33916.035000,33760.730000,0
2021-02-01T21:20:30Z,33766.460000,33828.765000,33906.325000,33763.165000,0
2021-02-01T21:20:45Z,33828.765000,33822.295000,33892.590000,33750.945000,0
2021-02-01T21:21:00Z,33890.390000,33806.175000,33890.760000,33733.650000,0
2021-02-01T21:21:15Z,33736.605000,33807.745000,33876.420000,33731.350000,0
2021-02-01T21:21:30Z,33808.230000,33813.765000,33879.045000,33737.635000,0
2021-02-01T21:21:45Z,33740.560000,33798.840000,33877.295000,33724.110000,0
2021-02-01T21:22:00Z,33868.795000,33809.775000,33877.965000,33727.650000,0
2021-02-01T21:22:15Z,33877.640000,33803.075000,33877.800000,33733.505000,0
2021-02-01T21:22:30Z,33735.845000,33801.905000,33878.375000,33734.995000,0
2021-02-01T21:22:45Z,33732.755000,33797.425000,33869.390000,33727.435000,0
2021-02-01T21:23:00Z,33728.135000,33778.940000,33864.975000,33705.255000,0
2021-02-01T21:23:15Z,33845.315000,33798.440000,33869.450000,33706.685000,0
2021-02-01T21:23:30Z,33864.285000,33795.980000,33865.295000,33723.950000,0
2021-02-01T21:23:45Z,33864.660000,33793.810000,33865.470000,33725.065000,0
2021-02-01T21:24:00Z,33863.060000,33787.870000,33863.065000,33703.700000,0
2021-02-01T21:24:15Z,33787.870000,33803.780000,33871.965000,33718.695000,0
2021-02-01T21:24:30Z,33873.120000,33810.405000,33882.675000,33733.550000,0
2021-02-01T21:24:45Z,33878.495000,33805.645000,33884.995000,33738.555000,0
2021-02-01T21:25:00Z,33874.515000,33803.455000,33877.480000,33736.300000,0
2021-02-01T21:25:15Z,33874.900000,33807.370000,33879.970000,33735.100000,0
2021-02-01T21:25:30Z,33879.265000,33817.110000,33908.465000,33742.170000,0
2021-02-01T21:25:45Z,33748.875000,33808.930000,33886.270000,33736.520000,0
2021-02-01T21:26:00Z,33877.425000,33812.690000,33886.215000,33736.985000,0
2021-02-01T21:26:15Z,33745.910000,33811.160000,33882.750000,33741.950000,0
2021-02-01T21:26:30Z,33809.530000,33804.175000,33876.280000,33733.035000,0
2021-02-01T21:26:45Z,33734.020000,33814.545000,33882.875000,33734.015000,0
2021-02-01T21:27:00Z,33814.545000,33791.505000,33883.610000,33721.860000,0
2021-02-01T21:27:15Z,33861.475000,33803.985000,33872.230000,33719.470000,0
2021-02-01T21:27:30Z,33868.880000,33800.745000,33871.825000,33728.650000,0
2021-02-01T21:27:45Z,33800.745000,33806.755000,33873.795000,33730.260000,0
2021-02-01T21:28:00Z,33806.755000,33795.200000,33875.090000,33727.015000,0
2021-02-01T21:28:15Z,33866.035000,33800.315000,33869.395000,33727.370000,0
2021-02-01T21:28:30Z,33863.620000,33803.305000,33863.960000,33738.510000,0
2021-02-01T21:28:45Z,33803.305000,33786.165000,33864.130000,33721.890000,0
2021-02-01T21:29:00Z,33849.220000,33798.635000,33868.050000,33725.030000,0
2021-02-01T21:29:15Z,33735.510000,33798.245000,33861.300000,33730.570000,0
2021-02-01T21:29:30Z,33862.115000,33796.915000,33864.500000,33668.649984,0
2021-02-01T21:29:45Z,33862.805000,33813.805000,33873.560000,33737.000000,0
2021-02-01T21:30:00Z,33813.805000,33815.595000,33883.795000,33750.490000,0
2021-02-01T21:30:15Z,33882.335000,33791.365000,33882.340000,33722.775000,0
2021-02-01T21:30:30Z,33791.365000,33853.770000,33870.905000,33721.715000,0
2021-02-01T21:30:45Z,33785.820000,33777.760000,33931.645000,33709.395000,0
2021-02-01T21:31:00Z,33709.665000,33739.065000,33889.095000,33671.050000,0
2021-02-01T21:31:15Z,33805.855000,33785.355000,33879.610000,33647.615000,0
2021-02-01T21:31:30Z,33717.685000,33765.695000,33851.230000,33626.890000,0
2021-02-01T21:31:45Z,33697.925000,33736.330000,33854.540000,33613.355000,0
2021-02-01T21:32:00Z,33674.720000,33685.070000,33831.390000,33611.420000,0
2021-02-01T21:32:15Z,33621.760000,33689.200000,33752.980000,33619.520000,0
2021-02-01T21:32:30Z,33689.200000,33704.740000,33759.660000,33629.070000,0
2021-02-01T21:32:45Z,33767.985000,33735.055000,33802.505000,33644.100000,0
2021-02-01T21:33:00Z,33797.075000,33704.535000,33797.960000,33636.420000,0
2021-02-01T21:33:15Z,33705.205000,33680.495000,33771.180000,33613.200000,0
2021-02-01T21:33:30Z,33684.370000,33675.585000,33748.075000,33602.340000,0
2021-02-01T21:33:45Z,33678.765000,33645.520000,33817.965000,33573.975000,0
2021-02-01T21:34:00Z,33713.055000,33671.540000,33742.180000,33579.945000,0
2021-02-01T21:34:15Z,33741.840000,33610.795000,33750.710000,33602.970000,0
2021-02-01T21:34:30Z,33610.790000,33670.740000,33741.975000,33600.830000,0
2021-02-01T21:34:45Z,33670.740000,33676.085000,33748.065000,33600.290000,0
2021-02-01T21:35:00Z,33676.085000,33675.095000,33749.815000,33601.895000,0
2021-02-01T21:35:15Z,33740.880000,33673.350000,33743.235000,33600.490000,0
2021-02-01T21:35:30Z,33673.350000,33673.650000,33745.570000,33553.981874,0
2021-02-01T21:35:45Z,33602.920000,33674.175000,33740.850000,33596.300000,0
2021-02-01T21:36:00Z,33606.665000,33722.300000,33740.835000,33581.295000,0
2021-02-01T21:36:15Z,33723.835000,33648.350000,33800.335000,33578.475000,0
2021-02-01T21:36:30Z,33649.195000,33648.205000,33717.620000,33576.050000,0
2021-02-01T21:36:45Z,33717.120000,33634.625000,33771.750000,33547.765000,0
2021-02-01T21:37:00Z,33705.275000,33676.710000,33781.975000,33545.540000,0
2021-02-01T21:37:15Z,33676.715000,33591.720000,33773.675000,33510.545000,0
2021-02-01T21:37:30Z,33656.850000,33522.095000,33670.970000,33511.140000,0
2021-02-01T21:37:45Z,33522.090000,33595.750000,33662.335000,33452.565000,0
2021-02-01T21:38:00Z,33658.795000,33618.615000,33683.905000,33537.620000,0
2021-02-01T21:38:15Z,33558.035000,33604.810000,33675.095000,33548.640000,0
2021-02-01T21:38:30Z,33604.810000,33584.195000,33732.515000,33526.290000,0
2021-02-01T21:38:45Z,33644.925000,33588.350000,33648.025000,33525.115000,0
2021-02-01T21:39:00Z,33532.090000,33559.075000,33673.135000,33486.380000,0
2021-02-01T21:39:15Z,33616.090000,33574.450000,33689.290000,33558.250000,0
2021-02-01T21:39:30Z,33576.100000,33643.510000,33705.985000,33576.090000,0
2021-02-01T21:39:45Z,33586.625000,33684.355000,33698.590000,33564.665000,0
2021-02-01T21:40:00Z,33684.355000,33623.220000,33685.810000,33557.150000,0
2021-02-01T21:40:15Z,33680.950000,33622.125000,33701.490000,33571.165000,0
2021-02-01T21:40:30Z,33674.695000,33621.840000,33685.580000,33563.255000,0
2021-02-01T21:40:45Z,33560.425000,33610.180000,33670.210000,33545.630000,0
2021-02-01T21:41:00Z,33550.715000,33610.420000,33676.355000,33545.760000,0
2021-02-01T21:41:15Z,33546.140000,33591.100000,33736.585000,33521.575000,0
2021-02-01T21:41:30Z,33657.895000,33584.130000,33662.710000,33514.965000,0
2021-02-01T21:41:45Z,33519.075000,33587.355000,33658.575000,33455.842312,0
2021-02-01T21:42:00Z,33587.355000,33597.965000,33661.565000,33517.910000,0
2021-02-01T21:42:15Z,33670.115000,33596.650000,33676.245000,33527.750000,0
2021-02-01T21:42:30Z,33527.755000,33592.200000,33668.955000,33523.740000,0
2021-02-01T21:42:45Z,33662.585000,33590.910000,33665.575000,33516.055000,0
2021-02-01T21:43:00Z,33660.825000,33591.845000,33665.640000,33520.315000,0
2021-02-01T21:43:15Z,33591.845000,33604.560000,33674.385000,33524.290000,0
2021-02-01T21:43:30Z,33674.490000,33681.900000,33764.725000,33538.500000,0
2021-02-01T21:43:45Z,33618.170000,33613.850000,33754.540000,33542.935000,0
2021-02-01T21:44:00Z,33683.180000,33616.065000,33687.545000,33480.140000,0
2021-02-01T21:44:15Z,33546.575000,33562.475000,33697.160000,33476.540000,0
2021-02-01T21:44:30Z,33562.470000,33635.345000,33716.250000,33561.710000,0
2021-02-01T21:44:45Z,33703.590000,33633.000000,33705.525000,33561.715000,0
2021-02-01T21:45:00Z,33700.505000,33621.750000,33700.515000,33543.325000,0
2021-02-01T21:45:15Z,33688.060000,33629.525000,33707.146920,33555.475000,0
2021-02-01T21:45:30Z,33629.525000,33656.980000,33720.290000,33559.055000,0
2021-02-01T21:45:45Z,33724.390000,33657.825000,33740.755000,33589.650000,0
2021-02-01T21:46:00Z,33588.965000,33642.180000,33809.800000,33567.060000,0
2021-02-01T21:46:15Z,33573.835000,33626.500000,33706.550000,33559.515000,0
2021-02-01T21:46:30Z,33555.655000,33618.015000,33690.560000,33549.605000,0
2021-02-01T21:46:45Z,33546.015000,33613.915000,33685.530000,33543.445000,0
2021-02-01T21:47:00Z,33540.170000,33621.360000,33690.425000,33538.005000,0
2021-02-01T21:47:15Z,33621.360000,33624.330000,33693.175000,33548.955000,0
2021-02-01T21:47:30Z,33691.265000,33649.905000,33720.480000,33554.810000,0
2021-02-01T21:47:45Z,33721.490000,33643.520000,33722.385000,33573.880000,0
2021-02-01T21:48:00Z,33711.550000,33649.975000,33726.205000,33577.925000,0
2021-02-01T21:48:15Z,33648.945000,33653.510000,33726.460000,33580.960000,0
2021-02-01T21:48:30Z,33583.395000,33663.420000,33806.565000,33581.050000,0
2021-02-01T21:48:45Z,33664.640000,33618.765000,33759.725000,33529.180000,0
2021-02-01T21:49:00Z,33688.660000,33661.230000,33806.180000,33585.415000,0
2021-02-01T21:49:15Z,33732.790000,33673.145000,33758.465000,33601.305000,0
2021-02-01T21:49:30Z,33673.145000,33680.175000,33747.930000,33592.510000,0
2021-02-01T21:49:45Z,33611.520000,33673.195000,33758.940000,33605.590000,0
2021-02-01T21:50:00Z,33741.065000,33669.550000,33754.200000,33558.081501,0
2021-02-01T21:50:15Z,33672.325000,33668.520000,33740.630000,33555.928240,0
2021-02-01T21:50:30Z,33602.935000,33671.340000,33740.050000,33591.605000,0
2021-02-01T21:50:45Z,33602.425000,33664.435000,33748.095000,33594.785000,0
2021-02-01T21:51:00Z,33664.435000,33669.880000,33784.703656,33547.372488,0
2021-02-01T21:51:15Z,33669.880000,33676.180000,33743.755000,33601.285000,0
2021-02-01T21:51:30Z,33676.180000,33677.185000,33744.595000,33605.275000,0
2021-02-01T21:51:45Z,33606.250000,33731.615000,33740.640000,33600.425000,0
2021-02-01T21:52:00Z,33664.360000,33686.270000,33800.605000,33550.250000,0
2021-02-01T21:52:15Z,33614.480000,33621.370000,33753.480000,33499.780583,0
2021-02-01T21:52:30Z,33688.840000,33632.270000,33707.055000,33551.110000,0
2021-02-01T21:52:45Z,33563.515000,33635.600000,33709.955000,33562.865000,0
2021-02-01T21:53:00Z,33575.515000,33642.090000,33715.685000,33570.635000,0
2021-02-01T21:53:15Z,33707.145000,33635.670000,33710.505000,33562.420000,0
2021-02-01T21:53:30Z,33568.040000,33628.810000,33705.630000,33560.035000,0
2021-02-01T21:53:45Z,33558.320000,33574.280000,33706.820000,33549.415000,0
2021-02-01T21:54:00Z,33643.455000,33663.290000,33730.170000,33573.950000,0
2021-02-01T21:54:15Z,33663.290000,33669.280000,33730.915000,33592.195000,0
2021-02-01T21:54:30Z,33732.195000,33635.440000,33734.570000,33565.630000,0
2021-02-01T21:54:45Z,33635.440000,33628.240000,33705.335000,33561.840000,0
2021-02-01T21:55:00Z,33695.425000,33642.925000,33714.660000,33557.730000,0
2021-02-01T21:55:15Z,33715.100000,33643.285000,33715.105000,33571.570000,0
2021-02-01T21:55:30Z,33711.260000,33615.300000,33750.595000,33575.230000,0
2021-02-01T21:55:45Z,33685.630000,33659.105000,33755.990000,33588.860000,0
2021-02-01T21:56:00Z,33728.035000,33675.515000,33747.760000,33589.420000,0
2021-02-01T21:56:15Z,33743.635000,33701.860000,33774.765000,33605.595000,0
2021-02-01T21:56:30Z,33701.860000,33714.695000,33786.645000,33633.160000,0
2021-02-01T21:56:45Z,33714.695000,33688.585000,33787.635000,33620.340000,0
2021-02-01T21:57:00Z,33761.270000,33696.475000,33787.310000,33624.035000,0
2021-02-01T21:57:15Z,33765.890000,33698.310000,33770.360000,33627.130000,0
2021-02-01T21:57:30Z,33628.775000,33703.470000,33772.280000,33618.625000,0
2021-02-01T21:57:45Z,33773.395000,33711.300000,33779.845000,33636.930000,0
2021-02-01T21:58:00Z,33641.905000,33693.040000,33779.915000,33621.670000,0
2021-02-01T21:58:15Z,33619.695000,33736.115000,33761.035000,33608.095000,0
2021-02-01T21:58:30Z,33665.650000,33641.335000,33733.655000,33568.990000,0
2021-02-01T21:58:45Z,33568.995000,33666.605000,33731.130000,33562.550000,0
2021-02-01T21:59:00Z,33739.470000,33628.925000,33739.475000,33558.685000,0
2021-02-01T21:59:15Z,33558.690000,33632.850000,33709.385000,33558.305000,0
2021-02-01T21:59:30Z,33564.790000,33647.695000,33726.095000,33564.785000,0
2021-02-01T21:59:45Z,33579.395000,33646.615000,33720.080000,33572.940000,0
2021-02-01T22:00:00Z,33718.980000,33626.330000,33723.365000,33556.845000,0
2021-02-01T22:00:15Z,33554.480000,33647.405000,33776.225000,33536.950000,0
2021-02-01T22:00:30Z,33623.225000,33623.225000,33623.225000,33549.865164,0
2021-02-01T22:00:45Z,33602.015000,33554.495000,33730.870000,33453.805000,0
2021-02-01T22:01:00Z,33486.690000,33543.750000,33606.025000,33476.440000,0
2021-02-01T22:01:15Z,33543.750000,33566.085000,33639.625000,33489.125000,0
2021-02-01T22:01:30Z,33506.970000,33510.710000,33628.775000,33504.540000,0
2021-02-01T22:01:45Z,33565.770000,33573.090000,33633.540000,33510.325000,0
2021-02-01T22:02:00Z,33573.140000,33580.850000,33645.860000,33512.075000,0
2021-02-01T22:02:15Z,33635.425000,33567.345000,33637.935000,33511.830000,0
2021-02-01T22:02:30Z,33624.035000,33572.755000,33633.015000,33505.245000,0
2021-02-01T22:02:45Z,33633.390000,33578.830000,33643.105000,33512.395000,0
2021-02-01T22:03:00Z,33514.465000,33565.955000,33657.250000,33488.105000,0
2021-02-01T22:03:15Z,33492.110000,33562.350000,33636.115000,33480.720000,0
2021-02-01T22:03:30Z,33491.295000,33561.885000,33633.820000,33488.885000,0
2021-02-01T22:03:45Z,33630.490000,33563.860000,33631.475000,33489.965000,0
2021-02-01T22:04:00Z,33492.210000,33573.215000,33641.875000,33492.205000,0
2021-02-01T22:04:15Z,33572.180000,33598.645000,33674.975000,33502.205000,0
2021-02-01T22:04:30Z,33529.880000,33603.380000,33678.445000,33526.395000,0
